Fullname,Username,Email,Password
John Doe,jdoe,john.doe@example.com,pass123
Jane Smith,jsmith,jane.smith@example.com,secure456
Alice Johnson,alicej,alice.johnson@example.com,password789
Bob Brown,bobb,bob.brownexample.com,mysecurepass
Carol White,carolw,carol.white@example.com,!carol2023
Eve Black,eveb,eve.black@example.com,evesecret
Tom Green,tgreen,tom.green@example.com,green123
Anna Gray,annag,anna.gray@example.com,graypassword
Mark Blue,markb,mark.blue@example.com,blue456
Lucy Red,lucyr,lucy.red@example.com,red789
